request_creation_time;elb_status_code;target_status_code;time
2021-01-27T12:09:47.740000Z;200;200;2021-01-27T12:09:47.799984Z
2021-01-27T12:09:47.766000Z;200;200;2021-01-27T12:09:47.891323Z
2021-01-27T12:09:47.779000Z;200;200;2021-01-27T12:09:47.829034Z
2021-01-27T12:09:47.804000Z;200;200;2021-01-27T12:09:47.891394Z
2021-01-27T12:09:47.845000Z;200;200;2021-01-27T12:09:47.891788Z
2021-01-27T12:09:47.884000Z;200;200;2021-01-27T12:09:47.932777Z
2021-01-27T12:09:47.906000Z;200;200;2021-01-27T12:09:48.618739Z
2021-01-27T12:09:47.913000Z;200;200;2021-01-27T12:09:47.960482Z
2021-01-27T12:09:48.171000Z;200;200;2021-01-27T12:09:48.206176Z
2021-01-27T12:09:48.259000Z;200;200;2021-01-27T12:09:48.316961Z
2021-01-27T12:09:48.514000Z;200;200;2021-01-27T12:09:48.569276Z
2021-01-27T12:09:48.774000Z;200;200;2021-01-27T12:09:48.810650Z
2021-01-27T12:09:48.893000Z;200;200;2021-01-27T12:09:48.939056Z
2021-01-27T12:09:48.907000Z;200;200;2021-01-27T12:09:48.947371Z
2021-01-27T12:09:49.375000Z;200;200;2021-01-27T12:09:49.417460Z
2021-01-27T12:09:49.404000Z;200;200;2021-01-27T12:09:49.449785Z
2021-01-27T12:09:49.503000Z;200;200;2021-01-27T12:09:49.573684Z
2021-01-27T12:09:49.571000Z;200;200;2021-01-27T12:09:49.612654Z
2021-01-27T12:09:49.895000Z;200;200;2021-01-27T12:09:49.934812Z
2021-01-27T12:09:50.026000Z;200;200;2021-01-27T12:09:50.062431Z
2021-01-27T12:09:50.170000Z;200;200;2021-01-27T12:09:50.206225Z
2021-01-27T12:09:50.333000Z;200;200;2021-01-27T12:09:50.380140Z
2021-01-27T12:09:50.361000Z;200;200;2021-01-27T12:09:50.399068Z
2021-01-27T12:09:50.557000Z;200;200;2021-01-27T12:09:50.601180Z
2021-01-27T12:09:51.559000Z;200;200;2021-01-27T12:09:51.597988Z
2021-01-27T12:09:51.607000Z;200;200;2021-01-27T12:09:51.648714Z
2021-01-27T12:09:51.655000Z;200;200;2021-01-27T12:09:51.693191Z
2021-01-27T12:09:51.698000Z;200;200;2021-01-27T12:09:51.732183Z
2021-01-27T12:09:51.882000Z;200;200;2021-01-27T12:09:51.917737Z
2021-01-27T12:09:52.012000Z;200;200;2021-01-27T12:09:52.187208Z
2021-01-27T12:09:52.328000Z;200;200;2021-01-27T12:09:52.379322Z
2021-01-27T12:09:52.805000Z;200;200;2021-01-27T12:09:52.846128Z
2021-01-27T12:09:52.869000Z;200;200;2021-01-27T12:09:52.940966Z
2021-01-27T12:09:52.873000Z;200;200;2021-01-27T12:09:52.920029Z
2021-01-27T12:09:52.991000Z;200;200;2021-01-27T12:09:53.034939Z
2021-01-27T12:09:53.021000Z;200;200;2021-01-27T12:09:53.065310Z
2021-01-27T12:09:53.069000Z;200;200;2021-01-27T12:09:53.124115Z
2021-01-27T12:09:53.102000Z;200;200;2021-01-27T12:09:53.148124Z
2021-01-27T12:09:53.125000Z;200;200;2021-01-27T12:09:53.167068Z
2021-01-27T12:09:53.381000Z;200;200;2021-01-27T12:09:53.485161Z
2021-01-27T12:09:53.685000Z;200;200;2021-01-27T12:09:53.741147Z
2021-01-27T12:09:53.685000Z;200;200;2021-01-27T12:09:53.742407Z
2021-01-27T12:09:53.951000Z;200;200;2021-01-27T12:09:53.986850Z
2021-01-27T12:09:54.019000Z;200;200;2021-01-27T12:09:54.078031Z
2021-01-27T12:09:54.024000Z;200;200;2021-01-27T12:09:54.075642Z
2021-01-27T12:09:54.028000Z;200;200;2021-01-27T12:09:54.077014Z
2021-01-27T12:09:54.228000Z;200;200;2021-01-27T12:09:54.272620Z
2021-01-27T12:09:54.373000Z;200;200;2021-01-27T12:09:54.408463Z
2021-01-27T12:09:54.552000Z;200;200;2021-01-27T12:09:54.600601Z
2021-01-27T12:09:54.553000Z;200;200;2021-01-27T12:09:54.599220Z
2021-01-27T12:09:54.903000Z;200;200;2021-01-27T12:09:55.004686Z
2021-01-27T12:09:55.170000Z;200;200;2021-01-27T12:09:55.241118Z
2021-01-27T12:09:55.255000Z;200;200;2021-01-27T12:09:55.294728Z
2021-01-27T12:09:56.571000Z;200;200;2021-01-27T12:09:56.636166Z
2021-01-27T12:09:56.617000Z;200;200;2021-01-27T12:09:56.685802Z
2021-01-27T12:09:56.630000Z;200;200;2021-01-27T12:09:56.686483Z
2021-01-27T12:09:56.695000Z;200;200;2021-01-27T12:09:56.748987Z
2021-01-27T12:09:56.995000Z;200;200;2021-01-27T12:09:57.039290Z
2021-01-27T12:09:57.111000Z;200;200;2021-01-27T12:09:57.160120Z
2021-01-27T12:09:57.129000Z;200;200;2021-01-27T12:09:57.174939Z
2021-01-27T12:09:57.235000Z;200;200;2021-01-27T12:09:57.274486Z
2021-01-27T12:09:57.277000Z;200;200;2021-01-27T12:09:57.334573Z
2021-01-27T12:09:57.324000Z;200;200;2021-01-27T12:09:57.371741Z
2021-01-27T12:09:57.477000Z;200;200;2021-01-27T12:09:57.529413Z
2021-01-27T12:09:57.478000Z;200;200;2021-01-27T12:09:57.528073Z
2021-01-27T12:09:57.544000Z;200;200;2021-01-27T12:09:57.578351Z
2021-01-27T12:09:57.625000Z;200;200;2021-01-27T12:09:57.664068Z
2021-01-27T12:09:57.657000Z;200;200;2021-01-27T12:09:57.695636Z
2021-01-27T12:09:57.716000Z;200;200;2021-01-27T12:09:57.751829Z
2021-01-27T12:09:57.860000Z;200;200;2021-01-27T12:09:57.900080Z
2021-01-27T12:09:57.890000Z;200;200;2021-01-27T12:09:57.925457Z
2021-01-27T12:09:57.947000Z;200;200;2021-01-27T12:09:58.002000Z
2021-01-27T12:09:57.974000Z;200;200;2021-01-27T12:09:58.012007Z
2021-01-27T12:09:58.099000Z;200;200;2021-01-27T12:09:58.184512Z
2021-01-27T12:09:58.135000Z;200;200;2021-01-27T12:09:58.182420Z
2021-01-27T12:09:58.347000Z;200;200;2021-01-27T12:09:58.452609Z
2021-01-27T12:09:58.595000Z;200;200;2021-01-27T12:09:58.642028Z
2021-01-27T12:10:00.130000Z;200;200;2021-01-27T12:10:00.205798Z
2021-01-27T12:10:00.135000Z;200;200;2021-01-27T12:10:00.206550Z
2021-01-27T12:10:00.409000Z;200;200;2021-01-27T12:10:00.455927Z
2021-01-27T12:10:00.410000Z;200;200;2021-01-27T12:10:00.454540Z
2021-01-27T12:10:00.509000Z;200;200;2021-01-27T12:10:00.551852Z
2021-01-27T12:10:00.650000Z;200;200;2021-01-27T12:10:00.698830Z
2021-01-27T12:10:00.946000Z;200;200;2021-01-27T12:10:00.979865Z
2021-01-27T12:10:01.098000Z;200;200;2021-01-27T12:10:01.134069Z
2021-01-27T12:10:01.135000Z;200;200;2021-01-27T12:10:01.172097Z
2021-01-27T12:10:01.210000Z;200;200;2021-01-27T12:10:01.256652Z
2021-01-27T12:10:01.226000Z;200;200;2021-01-27T12:10:01.287650Z
2021-01-27T12:10:01.275000Z;200;200;2021-01-27T12:10:01.335437Z
2021-01-27T12:10:01.546000Z;200;200;2021-01-27T12:10:01.588127Z
2021-01-27T12:10:02.369000Z;200;200;2021-01-27T12:10:02.406098Z
2021-01-27T12:10:02.495000Z;200;200;2021-01-27T12:10:02.536156Z
2021-01-27T12:10:02.531000Z;200;200;2021-01-27T12:10:02.570767Z
2021-01-27T12:10:02.636000Z;200;200;2021-01-27T12:10:02.689492Z
2021-01-27T12:10:02.636000Z;200;200;2021-01-27T12:10:02.688842Z
2021-01-27T12:10:02.736000Z;200;200;2021-01-27T12:10:02.770796Z
2021-01-27T12:10:02.793000Z;200;200;2021-01-27T12:10:02.835071Z
2021-01-27T12:10:02.962000Z;200;200;2021-01-27T12:10:03.041387Z
